name,AB_IG,HT_IG,Ibk_IG,J48_IG,Jrip_IG,Log_IG,MLP_IG,NB_IG,REP_IG,RF_IG,SGD_IG,SVM_IG
jEdit_4.2_4.3.arff,0.5829354,0.6391352,0.6639899,0.6042185,0.6344263,0.6740177,0.6634585,0.7283164,0.6903007,0.6335328,0.6269905,0.6335328
jm1.arff,0.7104264,0.5412486,0.6382877,0.653836,0.5708306,0.7137139,0.7022465,0.6631549,0.7034093,0.5021395,0.5039932,0.5021395
kc1.arff,0.7827487,0.5,0.7351205,0.680017,0.6013066,0.7979179,0.7966287,0.6903922,0.7554588,0.5134284,0.5391182,0.5134284
kc1-binary.arff,0.7503471,0.8077546,0.7092593,0.7244214,0.757639,0.7236111,0.8185185,0.7921601,0.7521991,0.7965277,0.7798611,0.7965277
kc1-top5.arff,0.6478022,0.4,0.5604395,0.5236264,0.5425824,0.5928572,0.7412088,0.8006946,0.4107143,0.4461538,0.5423076,0.4461538
kc3.arff,0.7801262,0.5,0.7363356,0.519033,0.6305169,0.7846603,0.7830981,0.7170328,0.5419512,0.510119,0.5314286,0.510119
kdd_el_nino-small.arff,0.9428836,0.9447366,0.851823,0.9598598,0.949077,0.9839928,0.9791509,0.8207927,0.9759203,0.915623,0.9481165,0.915623
kdd_internet_usage.arff,0.9354545,0.9163123,0.821995,0.9291064,0.8522607,0.9297283,0.8768435,0.9800286,0.9209095,0.8613504,0.8445914,0.8613504
kdd_ipums_la_97-small.arff,0.9895453,0.7712981,0.9340805,0.9698314,0.9704061,0.9830596,0.7555764,0.9204861,0.9711583,0.9802132,0.9675424,0.9802132
kdd_ipums_la_98-small.arff,1,1,0.911712,0.9941735,0.98805,0.9814751,1,0.9494391,0.9908854,0.9955186,0.9861146,0.9955186
kdd_synthetic_control.arff,1,1,1,0.9845,0.963,1,1,0.3966274,0.5,1,1,1
kidney.arff,0.8510417,0.775,0.7125,0.7916667,0.721875,0.7645833,0.6687499,1,0.6770833,0.5458333,0.7375,0.5458333
kin8nm.arff,0.799049,0.7956665,0.810803,0.817804,0.8088869,0.8143219,0.8085561,0.7833333,0.8395972,0.735198,0.7309677,0.735198
kr-vs-kp.arff,0.9549688,0.9835166,0.9894608,0.9987706,0.9964834,0.995843,0.9863054,0.819402,0.9979035,0.9539065,0.9700972,0.9539065
labor.arff,0.9125,0.8791667,0.825,0.7333333,0.7833333,0.975,0.925,0.952024,0.70625,0.875,0.9,0.875
letter.arff,0.9559368,0.9304391,0.9903179,0.9787338,0.9549049,0.966118,0.9276408,0.9875,0.9863942,0.6542284,0.7405056,0.6542284
leukemia.arff,0.9733334,0.99,0.8299999,0.8491667,0.8524999,0.98,0.8716667,0.9430128,0.87,0.9833333,0.91,0.9833333
lowbwt.arff,0.8498148,0.8706172,0.7532716,0.8266667,0.8433333,0.8518518,0.8722221,0.8661727,0.824506,0.8138888,0.8038888,0.8138888
lung-cancer.arff,0.675,0.65,0.4,0.6833333,0.6833333,0.675,0.55,0.75,0.6833333,0.5,0.45,0.5
lupus.arff,0.7730556,0.7911111,0.6725001,0.8398928,0.7066666,0.8383333,0.825,0.8044444,0.7425,0.7377777,0.73,0.74
lymph.arff,0.9093254,0.8943452,0.8354002,0.8483962,0.7609953,0.8517856,0.9008267,0.9069114,0.8019842,0.8741071,0.8280753,0.8741071
lymphoma_2classes.arff,0.9333333,0.9458333,0.7333332,0.8083334,0.6583333,0.9583333,0.9833333,0.9458333,0.7666666,0.9666667,0.825,0.9666667
machine_cpu.arff,0.9793056,0.9653334,0.9217639,0.91125,0.9086388,0.9688056,0.9776945,0.9676945,0.9123471,0.8633334,0.9135417,0.8633334
MagicTelescope.arff,0.9999253,0.9998427,0.9810145,0.9999594,0.9999253,0.9999997,0.9999991,0.985029,0.9999253,0.9913435,0.9956501,0.9913435
mammography.arff,0.9204147,0.8544377,0.7494915,0.8398944,0.7850367,0.9183741,0.9189574,0.9186955,0.8649169,0.5614471,0.6510533,0.5614471
mbagrade.arff,0.6722223,0.7444445,0.6333331,0.5694445,0.6000001,0.7458334,0.7458334,0.7611112,0.5381944,0.6333335,0.5916668,0.6333335
