name,AB_IG,HT_IG,Ibk_IG,J48_IG,Jrip_IG,Log_IG,MLP_IG,NB_IG,REP_IG,RF_IG,SGD_IG,SVM_IG
analcatdata_wildcat.arff,0.7999621,0.8035986,0.7082008,0.7700568,0.66125,0.8287501,0.8342804,0.8033334,0.7533334,0.8325758,0.7107575,0.6453029
anneal.arff,0.9791046,0.5143832,0.9071982,0.9562914,0.9287675,0.9247215,0.9809741,0.8692947,0.9369805,0.9858825,0.8485146,0.8236312
AP_Breast_Kidney.arff,0.9911927,0.969583,0.9614673,0.9404395,0.9653215,0.9852681,0.8131884,0.9715061,0.957634,0.9915336,0.9787749,0.9792274
AP_Breast_Omentum.arff,0.9762897,0.9528361,0.8980987,0.9448274,0.9378488,0.8850098,0.7428999,0.9543486,0.9036659,0.9765959,0.9380882,0.9395168
AP_Breast_Prostate.arff,0.9852942,0.9884873,0.9785714,0.9813444,0.9655881,0.9963026,0.9083313,0.9884873,0.9626889,0.9985294,0.9857143,0.9828572
AP_Colon_Kidney.arff,0.9976435,0.9706991,0.977932,0.9463812,0.9629927,0.9810345,0.9126516,0.9726221,0.9603592,0.9986595,0.9783914,0.9834264
AP_Colon_Omentum.arff,0.9752771,0.9370999,0.886207,0.8059113,0.9136006,0.862885,0.7925646,0.9308499,0.8912408,0.9785714,0.9004927,0.9100679
AP_Colon_Ovary.arff,0.977505,0.9334731,0.9030335,0.9199578,0.9188016,0.9196274,0.7467133,0.9352587,0.9358636,0.9779716,0.9292489,0.9218513
AP_Colon_Prostate.arff,0.9979944,0.9823277,0.9632183,0.9632185,0.9435141,0.9690183,0.714576,0.9841134,0.9667898,0.9974021,0.977032,0.9698275
AP_Endometrium_Breast.arff,0.9894118,0.95507,0.9421709,0.9231932,0.9456304,0.9912324,0.6782072,0.9535994,0.8846357,0.9941736,0.9593978,0.962297
AP_Endometrium_Lung.arff,0.979136,0.9446887,0.9729851,0.8664682,0.8668422,0.9724128,0.8077077,0.9684981,0.8925824,0.9859278,0.9450092,0.9488554
AP_Endometrium_Prostate.arff,0.9857142,0.9928571,0.9916667,0.9845238,0.9773809,1,0.6904762,0.9928571,0.9785713,1,0.9928571,1
AP_Lung_Uterus.arff,0.9766027,0.9516024,0.9073717,0.911859,0.9121796,0.899359,0.8926282,0.9477563,0.9413459,0.9836537,0.9157052,0.9233974
AP_Omentum_Kidney.arff,0.9935439,0.9769916,0.9644916,0.9430973,0.9341001,0.9786057,0.84375,0.9769916,0.9514423,0.9975962,0.9707416,0.9759614
AP_Omentum_Lung.arff,0.9679488,0.9253661,0.8986033,0.8492788,0.8902586,0.9392514,0.7691507,0.9182232,0.8812042,0.9793842,0.9063642,0.9173532
AP_Omentum_Ovary.arff,0.8639498,0.7177491,0.6862876,0.6777607,0.6949225,0.6790273,0.5944972,0.7087406,0.6867575,0.8631838,0.6709116,0.6810431
AP_Omentum_Uterus.arff,0.9367503,0.8989467,0.8296016,0.8207589,0.8480825,0.9122825,0.7433323,0.8912831,0.817342,0.9657853,0.9128662,0.9090199
AP_Ovary_Uterus.arff,0.9373954,0.8357793,0.7754115,0.7962897,0.8443672,0.8961463,0.6814389,0.8330397,0.8444552,0.95978,0.877807,0.880759
AP_Prostate_Kidney.arff,0.9989011,0.9724357,0.9735347,0.9768314,0.9787546,0.9918498,0.7858974,0.978205,0.9787546,0.9988095,0.9768314,0.9878205
AP_Prostate_Uterus.arff,0.9744047,0.9928571,0.9958333,0.970238,0.9744047,0.9581501,0.765293,0.9928571,0.9744047,1,0.9768314,0.9747252
