name,AB_CBF,HT_CBF,Ibk_CBF,J48_CBF,Jrip_CBF,Log_CBF,MLP_CBF,NB_CBF,REP_CBF,RF_CBF,SGD_CBF,SVM_CBF
fri_c0_100_10.arff,0.83825,0.9463333,0.7108333,0.7206667,0.6925834,0.9228334,0.8979999,0.9503333,0.8404167,0.9346666,0.8041668,0.8125001
fri_c0_100_25.arff,0.82,0.82,0.61,0.688,0.742,0.81,0.824,0.82,0.688,0.826,0.69,0.76
fri_c0_100_5.arff,0.9000833,0.9471666,0.8575001,0.7785,0.7519167,0.8904999,0.9021667,0.9513333,0.671,0.9023333,0.8275,0.8358334
fri_c0_100_50.arff,0.7918333,0.8078333,0.655,0.6384167,0.6266667,0.6308333,0.7676667,0.8158333,0.61825,0.7931667,0.6708333,0.6725
fri_c0_1000_10.arff,0.9014633,0.9395576,0.7353845,0.8322407,0.8530474,0.913008,0.9094865,0.9394977,0.8835782,0.9481014,0.8346607,0.8418232
fri_c0_1000_25.arff,0.9162296,0.9331924,0.6559324,0.7993952,0.8506373,0.8993081,0.8939275,0.9341524,0.8647243,0.9381729,0.8228599,0.8188992
fri_c0_1000_5.arff,0.9092463,0.9505521,0.8519824,0.8636413,0.8399563,0.9200286,0.9190284,0.9505122,0.8807268,0.9619157,0.8480192,0.8510396
fri_c0_1000_50.arff,0.8959583,0.9091637,0.6369549,0.7946779,0.8332134,0.8925172,0.8865145,0.9190077,0.867787,0.930212,0.8304122,0.8191477
fri_c0_250_10.arff,0.8971154,0.9051283,0.7150641,0.825,0.8137819,0.8903845,0.8576923,0.9185898,0.826923,0.9307691,0.7801281,0.7926281
fri_c0_250_25.arff,0.8759616,0.8080128,0.6282051,0.7689102,0.7794873,0.8788461,0.8628206,0.9102563,0.7974358,0.9272435,0.7923076,0.8044872
fri_c0_250_5.arff,0.873718,0.8826924,0.8044873,0.8448717,0.7932694,0.8807692,0.8833334,0.925,0.8169871,0.9294872,0.8121795,0.7967949
fri_c0_250_50.arff,0.8630452,0.8565934,0.5652098,0.7558857,0.7072261,0.8642359,0.8475774,0.8565934,0.7588702,0.853688,0.7789168,0.7513071
fri_c0_500_10.arff,0.9059521,0.9253295,0.7572499,0.7971563,0.8392967,0.9134723,0.9065847,0.929176,0.8515594,0.9402348,0.8229425,0.820859
fri_c0_500_25.arff,0.9136264,0.9012054,0.6136666,0.7729703,0.7996359,0.8784808,0.8859218,0.9157896,0.8017125,0.9311654,0.7765577,0.7771923
fri_c0_500_5.arff,0.908396,0.9286341,0.8059038,0.8385506,0.8224651,0.9089482,0.9038292,0.9286341,0.8429451,0.9481542,0.8239808,0.8279808
fri_c0_500_50.arff,0.9281777,0.9031778,0.6063334,0.766739,0.799824,0.895901,0.8481725,0.9056572,0.8404276,0.9259225,0.8142115,0.8082243
fri_c1_100_10.arff,0.7414167,0.7088333,0.6125001,0.748,0.7646667,0.694,0.6973333,0.7088333,0.7290834,0.88525,0.6200001,0.6483334
fri_c1_100_25.arff,0.7990834,0.7523333,0.6283333,0.76825,0.7870001,0.7291666,0.7123333,0.7483333,0.75875,0.8782501,0.6483334,0.6741667
fri_c1_100_5.arff,0.83475,0.816,0.7108334,0.7956666,0.7654166,0.6941667,0.702,0.812,0.7481667,0.9021666,0.6416667,0.6091667
fri_c1_100_50.arff,0.7546667,0.5083333,0.5441667,0.7064167,0.6651666,0.5454167,0.5996667,0.5213334,0.6755834,0.6905,0.58,0.5883334
fri_c1_1000_10.arff,0.8928669,0.7528588,0.7036022,0.8808972,0.8869328,0.7471942,0.6863492,0.7522465,0.8997985,0.9746327,0.6720407,0.6745056
fri_c1_1000_25.arff,0.8881141,0.7090156,0.593665,0.8489769,0.8626475,0.7117538,0.6632073,0.7102238,0.8857702,0.9652295,0.6339789,0.6412318
